IdSensore,Data,Valore,Stato,idOperatore
10013,01/01/2017 00:00:00,50,VA,1
10027,01/01/2017 00:00:00,51,VA,1
10028,01/01/2017 00:00:00,36,VA,1
10043,01/01/2017 00:00:00,72,VA,1
10273,01/01/2017 00:00:00,152,VA,1
10283,01/01/2017 00:00:00,126,VA,1
10290,01/01/2017 00:00:00,31,VA,1
10320,01/01/2017 00:00:00,161,VA,1
10335,01/01/2017 00:00:00,78,VA,1
10339,01/01/2017 00:00:00,91,VA,1
10343,01/01/2017 00:00:00,66,VA,1
10352,01/01/2017 00:00:00,74,VA,1
10396,01/01/2017 00:00:00,107,VA,1
10399,01/01/2017 00:00:00,40,VA,1
10405,01/01/2017 00:00:00,44,VA,1
10449,01/01/2017 00:00:00,44,VA,1
10456,01/01/2017 00:00:00,62,VA,1
10483,01/01/2017 00:00:00,77,VA,1
10484,01/01/2017 00:00:00,60,VA,1
10491,01/01/2017 00:00:00,8,VA,1
10547,01/01/2017 00:00:00,58,VA,1
10548,01/01/2017 00:00:00,63,VA,1
12028,01/01/2017 00:00:00,77,VA,1
12029,01/01/2017 00:00:00,31,VA,1
12570,01/01/2017 00:00:00,73,VA,1
17122,01/01/2017 00:00:00,139,VA,1
17162,01/01/2017 00:00:00,8,VA,1
17290,01/01/2017 00:00:00,93,VA,1
20004,01/01/2017 00:00:00,9.8,VA,1
20005,01/01/2017 00:00:00,7.3,VA,1
20104,01/01/2017 00:00:00,72,VA,1
20157,01/01/2017 00:00:00,63,VA,1
20358,01/01/2017 00:00:00,132,VA,1
6908,01/01/2017 00:00:00,191,VA,1
6910,01/01/2017 00:00:00,83,VA,1
6912,01/01/2017 00:00:00,129,VA,1
6915,01/01/2017 00:00:00,86,VA,1
6917,01/01/2017 00:00:00,94,VA,1
6918,01/01/2017 00:00:00,52,VA,1
6919,01/01/2017 00:00:00,92,VA,1
6921,01/01/2017 00:00:00,45,VA,1
6927,01/01/2017 00:00:00,36,VA,1
6929,01/01/2017 00:00:00,63,VA,1
6931,01/01/2017 00:00:00,46,VA,1
6935,01/01/2017 00:00:00,105,VA,1
6936,01/01/2017 00:00:00,60,VA,1
6939,01/01/2017 00:00:00,97,VA,1
6947,01/01/2017 00:00:00,73,VA,1
6956,01/01/2017 00:00:00,127,VA,1
6959,01/01/2017 00:00:00,74,VA,1
6962,01/01/2017 00:00:00,77,VA,1
9740,01/01/2017 00:00:00,76,VA,1
9873,01/01/2017 00:00:00,72,VA,1
9890,01/01/2017 00:00:00,114,VA,1
9963,01/01/2017 00:00:00,108,VA,1
9965,01/01/2017 00:00:00,121,VA,1
9976,01/01/2017 00:00:00,62,VA,1
9978,01/01/2017 00:00:00,97,VA,1
9985,01/01/2017 00:00:00,83,VA,1
10013,02/01/2017 00:00:00,59,VA,1
10027,02/01/2017 00:00:00,52,VA,1
10028,02/01/2017 00:00:00,36,VA,1
10043,02/01/2017 00:00:00,47,VA,1
10273,02/01/2017 00:00:00,80,VA,1
10283,02/01/2017 00:00:00,61,VA,1
10290,02/01/2017 00:00:00,30,VA,1
10320,02/01/2017 00:00:00,70,VA,1
10335,02/01/2017 00:00:00,66,VA,1
10339,02/01/2017 00:00:00,73,VA,1
10343,02/01/2017 00:00:00,61,VA,1
10352,02/01/2017 00:00:00,52,VA,1
10396,02/01/2017 00:00:00,63,VA,1
10399,02/01/2017 00:00:00,51,VA,1
10405,02/01/2017 00:00:00,51,VA,1
10449,02/01/2017 00:00:00,29,VA,1
10484,02/01/2017 00:00:00,74,VA,1
10491,02/01/2017 00:00:00,9,VA,1
10547,02/01/2017 00:00:00,55,VA,1
10548,02/01/2017 00:00:00,64,VA,1
12028,02/01/2017 00:00:00,71,VA,1
