IdSensore,NomeTipoSensore,UnitaMisura,Idstazione,NomeStazione,Quota,Provincia,Comune,Storico,DataStart,DataStop,Utm_Nord,UTM_Est,lat,lng,location
5512,Biossido di Azoto,µg/m³,509,Rivolta d` Adda - via Beccaria,101,CR,Rivolta d'Adda,S,01/01/1991,01/01/2017,5035130.15000000,539972.93000000,45.46855431381372,9.511357242675839,"(45.46855431381372, 9.511357242675839)"
5513,Biossido di Azoto,µg/m³,510,Inzago,138,MI,Inzago,S,01/01/1991,01/01/2017,5043030.07000000,538012.98000000,45.53976943321219,9.486897924971146,"(45.53976943321219, 9.486897924971146)"
5521,Biossido di Azoto,µg/m³,518,Galliate,153,NO,Galliate,S,,,5034980.68000000,479423.40000000,45.4680502118432,8.736774408679137,"(45.4680502118432, 8.736774408679137)"
5530,Biossido di Azoto,µg/m³,527,Castano Primo,175,MI,Castano Primo,S,01/01/1990,01/01/2017,5043625.53000000,482522.44000000,45.545947465248005,8.776110201845645,"(45.545947465248005, 8.776110201845645)"
5535,Biossido di Azoto,µg/m³,532,Cuggiono,156,MI,Cuggiono,S,01/01/1990,01/01/2017,5038680.59000000,484723.40000000,45.50148961440136,8.804458864001441,"(45.50148961440136, 8.804458864001441)"
5622,Biossido di Zolfo,µg/m³,518,Galliate,153,NO,Galliate,S,,,5034980.68000000,479423.40000000,45.4680502118432,8.736774408679137,"(45.4680502118432, 8.736774408679137)"
5689,Biossido di Zolfo,µg/m³,607,Abbadia Cerreto,64,LO,Abbadia Cerreto,S,,,5017500.29000000,545920.67000000,45.309504835727445,9.585798989589783,"(45.309504835727445, 9.585798989589783)"
5695,Biossido di Zolfo,µg/m³,601,Montanaso,84,LO,Montanaso Lombardo,S,,,5020391.27000000,535459.05000000,45.33613343682434,9.452554539256935,"(45.33613343682434, 9.452554539256935)"
5701,Biossido di Zolfo,µg/m³,567,Chiavenna,333,SO,Chiavenna,S,,,5129768.74000000,530454.07000000,46.32081015440132,9.395591870518418,"(46.32081015440132, 9.395591870518418)"
5730,Ozono,µg/m³,564,Erba - via Battisti,279,CO,Erba,N,01/01/2009,,5072797.87000000,517226.50000000,45.80852777131817,9.22170823576571,"(45.80852777131817, 9.22170823576571)"
5753,PM10,µg/m³,553,Saronno - via Marconi,211,VA,Saronno,S,,,5052270.27000000,502902.26000000,45.623972115091895,9.037229862531829,"(45.623972115091895, 9.037229862531829)"
5757,PM10,µg/m³,590,Ponte S.Pietro,225,BG,Ponte San Pietro,S,,,5060449.68000000,545762.86000000,45.69608800187311,9.587795127973243,"(45.69608800187311, 9.587795127973243)"
5769,PM10,µg/m³,566,Olgiate Comasco - via Roma $,404,CO,Olgiate Comasco,S,,,5070038.21000000,497388.47000000,45.78389914645812,8.966403931996975,"(45.78389914645812, 8.966403931996975)"
5799,Monossido di Carbonio,mg/m³,564,Erba - via Battisti,279,CO,Erba,S,,,5072797.87000000,517226.50000000,45.80852777131817,9.22170823576571,"(45.80852777131817, 9.22170823576571)"
5813,Monossido di Carbonio,mg/m³,511,Abbiategrasso,118,MI,Abbiategrasso,S,,,5026880.57000000,493223.15000000,45.395409622334675,8.913418475351794,"(45.395409622334675, 8.913418475351794)"
5816,Monossido di Carbonio,mg/m³,512,Carate Brianza,250,MB,Carate Brianza,S,,,5057635.97000000,518272.23000000,45.67203345877918,9.234594651177435,"(45.67203345877918, 9.234594651177435)"
5818,Monossido di Carbonio,mg/m³,529,Cinisello Balsamo,149,MI,Cinisello Balsamo,S,,,5044335.12000000,517778.12000000,45.552326864464604,9.227765775012701,"(45.552326864464604, 9.227765775012701)"
5819,Monossido di Carbonio,mg/m³,544,Cormano,153,MI,Cormano,S,,,5044180.15000000,512693.11000000,45.55104329251914,9.162615066280592,"(45.55104329251914, 9.162615066280592)"
5821,Monossido di Carbonio,mg/m³,540,Garbagnate,175,MI,Garbagnate Milanese,S,,,5046467.25000000,506105.17000000,45.571718514263516,9.078243772408346,"(45.571718514263516, 9.078243772408346)"
5822,Monossido di Carbonio,mg/m³,505,Legnano,199,MI,Legnano,S,,,5049180.36000000,493668.32000000,45.59613717539944,8.918818091280352,"(45.59613717539944, 8.918818091280352)"
5824,Monossido di Carbonio,mg/m³,541,Limbiate,181,MB,Limbiate,S,,,5049330.18000000,509823.18000000,45.59744511585853,9.12595125402279,"(45.59744511585853, 9.12595125402279)"
5825,Monossido di Carbonio,mg/m³,531,Limito,114,MI,Pioltello,N,11/11/1994,,5036730.23000000,525583.15000000,45.48363241796519,9.327361964573573,"(45.48363241796519, 9.327361964573573)"
17085,Cadmio,ng/m³,569,Sondrio - via Mazzini,307,SO,Sondrio,S,,,5113078.44000000,567173.30000000,46.1679707422768,9.870148023092943,"(46.1679707422768, 9.870148023092943)"
5836,Monossido di Carbonio,mg/m³,538,Settimo Milanese,132,MI,Settimo Milanese,S,,,5036306.30000000,504444.08000000,45.48027148539383,9.056863058094418,"(45.48027148539383, 9.056863058094418)"
5838,Monossido di Carbonio,mg/m³,528,Milano - Verziere,116,MI,Milano,S,,,5034443.17000000,515270.00000000,45.463348270860564,9.195324812952947,"(45.463348270860564, 9.195324812952947)"
5840,Monossido di Carbonio,mg/m³,543,Vimercate,194,MB,Vimercate,S,,,5051330.00000000,528723.16000000,45.6149208638247,9.368398213874334,"(45.6149208638247, 9.368398213874334)"
