PROG,USO,DESTINAZIONE,PORTATA,FLAG_ANN_MASSA_RIMORC,CILINDRATA,ALIMENTAZIONE,MASSA_RIMORCHIABILE,NUMERO_POSTI,TIPO_ALIMENTAZIONE_IMPIANTO,KW,DT_PRIMA_IMMATRICOLAZIONE,NUMERO_ASSI,COD_SIGLA_EURO,EMISSIONI_CO2,PESO_COMPLESSIVO,COD_ISTAT_COMUNE,COD_ISTAT_PROVINCIA
4607724,4,J,1000,A, , ,,, ,,1989,1,EURO0,0,1300,029,017
710077,0,A,0,,01570,B,,5,,0,,0,,,0,133,013
3292399,0,M,139,A,"600,00",B,0,2,,57,2000,2,EURO1,0,440,073,017
14536586,0,A,405,P,"1242,00",B,800,4,,51,2015,2,EURO6,1150,1345,216,016
7627294,0,M,125,A,01064,B,,2,,55,2006,2,EURO2,0,470,012,108
7375619,0,A,485,P,01242,B,900,4,,48,2006,2,EURO4,1400,1575,144,017
1792720,0,A,434,P,01968,G,1400,5,,103,2004,2,EURO4,1490,1910,029,017
3475439,0,A,475,P,01870,G,1300,5,,72,2000,2,EURO2,1570,1840,027,108
8812536,0,A,398,P,01124,B,920,5,,44.1,2007,2,EURO4,1400,1483,143,013
8774375,0,M,107,A,00153,B,0,2,,11.6,2007,2,EURO3,0,317,238,016
13109866,0,A,365,P,"1242,00",B,800,4,,51,2012,2,EURO5,1130,1305,027,015
8478406,0,A,480,P,01461,G,1200,5,,60,2003,2,EURO3,1130,1515,098,012
10746705,0,M,100,A,00124,B,0,2,,7.7,2009,2,EURO3,0,300,146,015
12682212,0,A,365,P,"1242,00",B,800,4,,51,2012,2,EURO5,1130,1305,041,013
1205544,0,A,575,P,02497,G,3000,5,,125,2006,2,EURO4,2090,2640,026,015
12443560,0,A,441,P,"1242,00",B,600,5,,60,2011,2,EURO5,1290,1495,023,017
3822710,0,A,0,P,01242,B,900,5,,44,1998,2,EURO2,1580,1330,143,013
11760461,0,A,485,P,"1248,00",G,1000,5,F,55,2010,2,EURO5,1080,1665,158,017
1797156,0,A,534,P,01997,G,1100,5,,66,2004,2,EURO3,1520,1920,050,108
15932644,4,C,478,P,"1499,00",G,500,2,,55.2,2017,2,EURO6,1040,1795,206,015
10578407,0,A,360,A,00796,GPL,,5,,38,2009,2,EURO4,1190,1250,142,015
923984,0,A,355,P,02393,G,1300,5,,81,1985,2,EURO0,0,1675,232,016
868247,0,M,0,,00121,B,,2,,0,,0,,,0,075,013
8032889,0,A,445,P,01910,G,1300,5,,110,2007,2,EURO4,1570,1830,183,016
9569913,0,A,460,P,01596,B,1100,5,,76,1996,2,EURO1,0,1705,142,015
1371638,4,C,774,P,01997,G,1300,3,,69,2005,2,EURO3,0,2250,033,020
7549082,0,A,529,P,01560,G,1200,5,,66,2006,2,EURO4,1270,1920,135,018
14756038,0,A,495,P,"1560,00",G,1300,5,F,68,2016,2,EURO5,1230,1948,146,015
13830586,0,A,545,P,"1968,00",G,1800,5,,81,2014,2,EURO5,1540,2070,025,097
9701423,0,M,132,A,00696,B,0,2,,54.5,2008,2,EURO3,0,390,030,108
12848933,2,A,488,P,"1199,00",G,1000,5,,55,2012,2,EURO5,990,1620,146,015
5249116,5,V,3500,A,05861,G,0,3,,105,1999,2,EURO2,0,8000,019,020
8485197,0,A,435,P,01495,B,1350,5,,77,2007,2,EURO4,1900,1720,039,108
8613041,0,M,106,A,"399,00",B,0,2,,28.7,2007,2,EURO3,0,427,042,013
13820872,0,A,412,A,"998,00",B,0,5,,48.5,2014,2,EURO5,1080,1420,062,015
3060425,0,A,435,P,01242,B,1000,5,,44,2001,2,EURO3,1360,1370,250,015
6702429,0,M,85,A,00163,B,0,2,,8.27,2006,2,EURO2,0,286,146,015
6179733,0,M,72,A,00123,MSC,,2,,5.89,1981,2,EURO0,0,246,140,015
778563,0,A,330,P,00770,B,800,5,,25,1989,2,EURO0,0,1100,240,016
4520583,0,A,440,P,01997,G,1100,5,,66,2000,2,EURO2,1360,1585,113,017
14263468,0,M,135,A,"1170,00",B,0,2,,74,2006,2,EURO3,0,435,182,018
7208376,0,A,275,A,01299,B,,4,,51,2003,2,EURO4,1500,1265,050,108
2417784,0,A,375,P,00998,B,600,5,,44,2002,2,EURO4,1490,1340,105,015
2251441,4,C,405,P,01910,G,600,4,,44,2002,2,EURO3,0,1545,038,017
12032845,0,A,620,P,"1997,00",G,1400,7,,110,2011,2,EURO5,1540,2308,146,015
5915794,4,C,1320,A,02500,G,,3,,55,1991,2,EURO0,0,3170,001,108
6168222,0,A,330,,01995,B,,5,,83,1982,2,EURO0,,1480,017,020
6416301,4,J,343,A,,,,,,,1979,1,EURO0,0,470,052,019
3248281,0,A,435,P,01242,B,1000,5,,44,2000,2,EURO2,1360,1385,006,108
9833507,0,M,122,A,00599,B,,2,,75,2008,2,EURO3,0,395,025,108
10468726,4,C,1158,P,02464,G,2000,3,,107,2009,2,EURO4,0,2985,146,015
115075,0,M,70,A,00742,B,,2,,42,1991,2,EURO0,0,373,116,015
6280946,4,C,1000,A,02360,G,,3,,45,1978,2,EURO0,0,2450,182,018
